date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:37:44	105/105	---M-Z	200	added ('OK')	text/plain	etag:%22aac549554b1e349619513573be3e82c5%22	https://mairamansoor.framer.website/robots.txt		(from )
01:37:45	116999/116999	---M-Z	200	added ('OK')	text/html	etag:%223c85c6c3a36cb5163a63be39fbf075b2%22	https://mairamansoor.framer.website/	C:/Maira/NewPortfolio/mairamansoor.framer.website/index.html	(from )
01:37:45	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	C:/Maira/NewPortfolio/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://mairamansoor.framer.website/)
01:37:45	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	C:/Maira/NewPortfolio/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://mairamansoor.framer.website/)
01:37:45	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	C:/Maira/NewPortfolio/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://mairamansoor.framer.website/)
01:37:46	10365/10365	---MC-	200	added ('OK')	image/png	etag:%224c7a23f27e8f6f5be7d6dbb267c160bd%22	https://framerusercontent.com/images/9JuFISFtSP87upELVvL4XG3BQ.png?width=552&height=562	C:/Maira/NewPortfolio/framerusercontent.com/images/9JuFISFtSP87upELVvL4XG3BQb9c2.png	(from https://mairamansoor.framer.website/)
01:37:47	472682/472682	---MC-	200	added ('OK')	image/jpeg	etag:%227bb4801bbc7fad68385e0e88b3377562%22	https://framerusercontent.com/images/hQXs0LXv7QNXzZvrCQ9z0PJ9A.jpg?width=1310&height=1310	C:/Maira/NewPortfolio/framerusercontent.com/images/hQXs0LXv7QNXzZvrCQ9z0PJ9Ae685.jpg	(from https://mairamansoor.framer.website/)
01:37:48	165691/165691	---M-Z	200	added ('OK')	text/html	etag:%22f1183f9420bd5edb17b4e5a2366098d9%22	https://mairamansoor.framer.website/cisco-u	C:/Maira/NewPortfolio/mairamansoor.framer.website/cisco-u.html	(from https://mairamansoor.framer.website/)
01:37:49	169410/169410	---MC-	200	added ('OK')	image/png	etag:%2277915d23ceb038f5bfd700183dbe1433%22	https://framerusercontent.com/images/P4sTVUV2S2IK4hbzxwZC4AwcKA.png?width=2075&height=1541	C:/Maira/NewPortfolio/framerusercontent.com/images/P4sTVUV2S2IK4hbzxwZC4AwcKA1ad2.png	(from https://mairamansoor.framer.website/)
01:37:50	78781/78781	---M-Z	200	added ('OK')	text/html	etag:%2235a379e6bbbcdd50036c159775b40e2d%22	https://mairamansoor.framer.website/mmbl	C:/Maira/NewPortfolio/mairamansoor.framer.website/mmbl.html	(from https://mairamansoor.framer.website/)
